x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
7,7,1236324476,713849153,1142820032,28098283.545454547
7,8,695254568,815600764,1226875966,14188868.734693877
7,9,2484219550,1688564202,2369432758,33122927.333333332
7,10,1335076394,1276663125,1333850378,22628413.457627118
7,11,1197138661,1536280351,1982569575,17604980.30882353
7,12,1763397840,1952497268,2629832576,17993855.51020408
7,13,1641149551,855114850,894175523,31560568.28846154
7,14,258321865,596677902,549842798,9567476.481481481
7,15,1814107611,1352789090,2218409004,16797292.694444444
7,16,3584560510,2911432065,4165592851,21593738.012048192
7,17,1101713233,1180395380,806080294,17487511.634920634
7,18,1556986154,1430206512,2205777485,16389327.936842104
7,19,2258701519,1090481032,1928920179,19471564.818965517
7,20,1255603307,827723535,741718925,20926721.783333335
7,21,963158186,2242326108,1732854571,11604315.493975904
7,22,951661528,1736699059,820706720,15601008.655737706
7,23,961637288,912390637,983083191,13737675.542857142
7,24,488292373,389560017,364834092,13197091.162162162
7,25,189388674,1177380080,611799302,3443430.4363636365
7,26,1024921513,413128760,793138357,17671060.568965517
7,27,8054,52,2,4027
7,28,583646280,286613260,914789190,17166067.05882353
7,29,819767640,156950212,33409137,32790705.6
7,30,638,1263800276,247184730,42.53333333333333
7,31,719618818,1078089772,933553244,23987293.933333334
7,32,356387537,234381677,344361052,25456252.64285714
7,33,33215136,113528843,344250308,2767928
7,34,434257748,436646708,248654568,27141109.25
7,35,1123261471,783381028,1091541716,37442049.03333333
7,36,466504001,545590536,123197925,19437666.708333332
8,6,583501276,242302671,355692753,15770304.756756756
8,7,1397523578,1040764160,935651662,25409519.6
8,8,1027208702,593462526,1062567260,26338684.666666668
8,9,1594717334,1936035777,1477331005,20983122.815789472
8,10,1413237768,1864346345,868329495,21412693.454545453
8,11,1237229049,1025554526,1469443466,22495073.618181817
8,12,3080042400,2017927944,3023151731,23692633.846153848
8,13,1638499962,640657562,1341007449,32769999.24
8,14,884175777,996485863,671327175,23267783.60526316
8,15,3420418081,2494505039,3010688308,28503484.008333333
8,16,1793699412,1324713235,1714824443,22705055.848101266
8,17,1092304740,650360816,1639675407,19505441.785714287
8,18,1136547529,783619880,704720041,18331411.758064516
8,19,1319193280,900085298,1321521314,16912734.35897436
8,20,1003994281,1757187364,1568470703,17613934.754385963
8,21,813631230,1020600354,794577903,13123084.35483871
8,22,1327906873,1562966014,1581426906,17245543.805194806
8,23,1807636985,610789736,1452880555,24101826.466666665
8,24,577429935,566069685,444446399,14083656.951219512
8,25,1244918487,1067794761,1239641022,15758461.860759493
8,26,882212102,894943409,1020510332,12973707.38235294
8,27,158873832,35941168,146117773,9345519.529411765
8,28,971486567,1361414013,971009188,13308035.164383562
8,29,8,3,2,4
8,30,366228900,112359286,366128977,36622890
8,31,923387299,1659178698,1277840641,27158449.970588237
8,32,509992101,557226424,488810627,21249670.875
8,33,20200263,887828894,454829978,1122236.8333333333
8,34,1061478986,874167238,628190095,36602723.655172415
8,35,33257459,1079588,706480610,1956321.1176470588
8,36,745548773,778905577,468556513,29821950.92
8,40,61,0,310101320,61
9,6,127486505,325534802,120491285,9106178.92857143
9,7,486680559,24680646,453382298,34762897.071428575
9,8,737287543,1370107197,702562961,18432188.575
9,9,1850233693,2911389441,1817560831,20332238.384615384
9,10,1863688103,966827553,2346088001,31061468.383333333
9,11,570718300,807045505,367375956,17294493.939393938
9,12,1551327717,1025385818,986059108,28205958.490909092
9,13,686802825,1285029964,919895304,12049172.368421054
9,14,441517013,24705132,868065902,44151701.3
9,15,793455521,895213027,821970276,15258760.01923077
9,16,424368907,168217275,438133053,15717366.925925925
9,17,953406165,774128149,916446867,18334733.942307692
9,18,658654355,396139764,1080956152,24394605.740740743
9,19,1491693494,260197228,849423347,41435930.38888889
9,20,2254243846,2076438945,2176728784,18179385.85483871
9,21,1405508924,974442978,883583282,19253546.90410959
9,22,948021204,845925153,923954359,17236749.163636364
9,23,446219109,449226537,235414696,12749117.4
9,24,357129502,701478842,678614801,9398144.789473685
9,25,889970916,588537028,887660908,17799418.32
9,26,612793479,894982474,612874463,12766530.8125
9,27,234335255,569310308,225015869,9373410.2
9,28,212280,106,23,42456
9,29,132418437,355436585,262548478,8276152.3125
9,30,2134150866,2017844262,1632045522,30487869.514285713
9,31,789356739,1235365513,145380979,24667398.09375
9,32,1028700057,670354346,696735851,35472415.75862069
9,33,487973305,349106843,1061710020,21216230.652173914
9,34,1531091746,1575863315,1620708084,25099864.68852459
9,35,486732295,748877808,363769782,34766592.5
9,36,435555522,666659123,435533382,19797978.272727273
10,6,230002347,214564728,235024314,25555816.333333332
10,7,370533609,445713322,35681968,12351120.3
10,8,335812824,813177576,582300657,11193760.8
10,9,2630944808,2633329346,3212469376,18020169.91780822
10,10,1282153474,2060634558,1778880878,15447632.21686747
10,11,1258405470,1209252874,370282473,23743499.433962263
10,12,1260025336,1340049137,1299993952,19385005.16923077
10,13,870315983,582480329,475111559,32233925.296296295
10,14,133252,50984,12,133252
10,16,51196,6,5,51196
10,17,426543356,244557658,250062116,28436223.733333334
10,18,34584868,130711098,120257930,2882072.3333333335
10,19,1328826062,760528544,905736335,23312737.92982456
10,20,3972835354,3153164269,4086610473,20269568.13265306
10,21,2296262308,3438660354,2547360675,16884281.67647059
10,22,424932268,874189664,801494034,13707492.516129032
10,23,560248356,708505811,660064271,12179312.086956521
10,24,438070849,592670811,476283324,12168634.694444444
10,25,973456248,668388749,974122909,10816180.533333333
10,26,599491454,161867073,479577168,16202471.72972973
10,27,848093236,900396550,749385064,16001759.169811321
10,28,369951222,569438908,504992086,9248780.55
10,29,730032363,712194979,556966329,24334412.1
10,30,475116088,1546506903,699631137,8964454.490566038
10,31,845675015,1006658560,1134715938,22254605.657894738
10,32,2829540468,3120113302,2498486993,28872861.91836735
10,33,819984005,1000282934,508829509,26451096.93548387
10,34,1155929080,1108668557,811572096,29639207.17948718
10,35,934411567,1430254879,1059232449,24589778.07894737
10,36,312412937,343396212,343264366,26034411.416666668
11,6,125825292,337710126,126045507,8987520.857142856
11,7,688771636,869841796,807767081,16399324.666666666
11,8,1365466701,1693032936,1735159375,24383333.94642857
11,9,1522245134,1389729917,1580751236,24954838.262295082
11,10,1287104347,302270404,820384821,31392788.951219514
11,11,1500940432,911892611,1409431089,30018808.64
11,12,1594456602,1484342758,1444154030,20441751.307692308
11,13,58,231011048,443532767,11.6
